Provider,Year,Annual_Unlinked_Trips,Annual_Vehicle_Revenue_Miles,Annual_Vehicle_Revenue_Hours,Operating_Expenses,Fare_Revenue,OpEx_per_VRM,OpEx_per_VRH,OpEx_per_UPT,UPT_per_VRM,UPT_per_VRH,Fare_Revenue_per_UPT,Fare_Revenue_pct_OpEx,UPT_YoY_Pct_Change,VRM_YoY_Pct_Change,VRH_YoY_Pct_Change
WMTS,2022,123829,538789,35429,3410949,184722,6.330769559140962,96.27562166586695,27.545639551316736,0.2298283743728992,3.4951311072849927,1.4917507207520049,5.415560303012446,28.51864536953431,25.468420341761718,8.461656206949336
WMTS,2023,168002,596614,41712,3401664,365088,5.701616120305591,81.5512082853855,20.247758955250532,0.2815924534120889,4.027665899501343,2.173116986702539,10.732629677710673,35.67258073633802,10.732401737971637,17.73405966863304
Waldo,2014,47597,609872,34240,1042872,13917,1.7099850460424482,30.45771028037383,21.910456541378657,0.0780442453498439,1.3900992990654206,0.2923923776708616,1.334487837433549,NA,NA,NA
Waldo,2015,57097,1087613,42042,1388184,28893,1.2763584105743495,33.018981018981016,24.312730966600697,0.05249753358961322,1.3580942866657153,0.5060335919575459,2.081352327933473,19.95924112864256,78.33463415274025,22.786214953271028
Waldo,2016,70610,1233374,51485,1448636,39265,1.1745310019507464,28.13704962610469,20.516017561251946,0.05724946366633316,1.3714674176944741,0.5560827078317518,2.71048075569018,23.666742560905128,13.401917777738955,22.460872460872462
Waldo,2017,80100,1256970,54856,1880115,51506,1.495751688584453,34.2736437217442,23.472097378277155,0.06372467123320366,1.4601866705556366,0.6430212234706617,2.739513274453956,13.440022659679931,1.913126107733745,6.5475381178984176
Waldo,2018,87932,1373845,61508,2060316,97290,1.4996713603062937,33.496715874357804,23.430787426647864,0.06400430907416775,1.42960265331339,1.1064231451576219,4.722091174363544,9.777777777777779,9.298153496105714,12.126294297797871
Waldo,2019,86212,1319555,62150,2033301,84245,1.5408990151983055,32.71602574416734,23.58489537419385,0.06533414673886272,1.3871600965406274,0.9771841506982787,4.143262605979144,-1.9560569531001228,-3.951683050125742,1.043766664498927
Waldo,2020,56341,918024,43362,1467240,45971,1.5982588690491752,33.83700013837,26.04213627731137,0.06137203384660968,1.2993173746598403,0.8159422090484727,3.133161582290559,-34.648308820117855,-30.429273505083152,-30.23008849557522
Waldo,2021,38421,740153,34329,1251345,66053,1.6906572019568926,36.45154242768505,32.5692980401343,0.05190953762262667,1.119199510617845,1.7191900262877073,5.278560269150394,-31.80632221650308,-19.375419379014055,-20.831603708316038
Waldo,2022,44561,795805,37738,1037329,80741,1.3034964595598169,27.48765170385288,23.27885370615561,0.05599487311590151,1.1807991944459166,1.8119207378649491,7.783547938985606,15.98084380937508,7.518985939393612,9.93037956246905
Waldo,2023,55168,930364,45214,1754072,0,1.8853609984909132,38.79488653956739,31.79509860788863,0.05929722130262994,1.220153049940284,0,0,23.80332577814681,16.908539152179237,19.81027081456357
SPBS,2014,258617,203469,13974,1319874,337371,6.4868554914999335,94.45212537569772,5.1035856111547195,1.2710388314681844,18.507013024187778,1.3045198111493057,25.560848990130875,NA,NA,NA
SPBS,2015,268705,212967,13647,1306270,285127,6.133673292106288,95.71847292445226,4.861353528962989,1.2617212995440608,19.68967538653184,1.0611153495469008,21.827570104189792,3.9007489840188385,4.66803296816714,-2.3400601116358954
SPBS,2016,246931,200557,12428,1046639,247925,5.2186610290341395,84.21620534277439,4.2385889175518665,1.231226035491157,19.868925008046347,1.0040254160069007,23.687728051410275,-8.103310321728289,-5.827193884498538,-8.932366087784862
SPBS,2017,270930,209286,18523,1290737,239547,6.167335607732959,69.68293472979539,4.764097737422951,1.2945443077893408,14.626680343356908,0.8841656516443361,18.55893183506787,9.718909330946701,4.352378625527905,49.04248471194078
SPBS,2018,273167,218885,18773,1387090,253231,6.337071978436165,73.88749800245033,5.077809545076821,1.2479932384585513,14.55105736962659,0.9270190030274521,18.25627753065771,0.8256745284759901,4.586546639526772,1.3496733790422717
SPBS,2019,259640,226251,19404,1532630,219151,6.774025308175434,78.98526077097506,5.9029040209520875,1.147575038342372,13.380746237889095,0.8440571560622401,14.299015417941707,-4.951915860993458,3.365237453457295,3.3612102487615187
SPBS,2020,208947,162768,14276,1378197,161619,8.467247861987614,96.53943681703558,6.5959166678631425,1.2837105573577117,14.6362426449986,0.7734927996094704,11.72684311459102,-19.524341395778773,-28.058660514207673,-26.427540713255
SPBS,2021,113838,195557,15698,1380596,94001,7.059813762739252,87.94725442731558,12.127725364113916,0.5821218366000706,7.2517518155179,0.8257436005551749,6.808726086414853,-45.51824146793206,20.144623021724172,9.960773325861586
SPBS,2022,150653,196401,16676,1449939,165414,7.382543877067835,86.94764931638282,9.624361944335659,0.7670683957820988,9.034120892300312,1.0979801265159008,11.408342006111981,32.33981623008134,0.4315877212270591,6.230093005478405
SPBS,2023,243092,213189,16566,1454629,0,6.8231897518164635,87.80810092961488,5.983862076909154,1.1402652106816018,14.674151877339128,0,0,61.358884323578025,8.547817984633479,-0.6596306068601583
RTP,2014,58059,441606,30312,2940413,0,6.658453463041716,97.00491554499868,50.645257410565115,0.13147239847284684,1.9153800475059382,0,0,NA,NA,NA
RTP,2015,48929,438050,24531,2737237,1033520,6.2486862230339,111.58277281806694,55.94303991497885,0.11169729482935738,1.9945782886959358,21.12285147867318,37.75778275684568,-15.725382800254915,-0.8052426823910906,-19.071654790182105
RTP,2016,49455,425114,26523,2447384,994766,5.7570063559421705,92.27402631678166,49.487089273076535,0.11633350113146121,1.8646080760095012,20.11456879991912,40.646093951746025,1.0750270800547734,-2.9530875470836664,8.120337532102239
RTP,2017,52562,394921,24267,2393879,1092390,6.061665497656493,98.64750484196645,45.54391004908489,0.13309497342506477,2.1659867309514977,20.78288497393554,45.63263222577248,6.2824790213325254,-7.102330198487936,-8.505825132903517
RTP,2018,94062,544435,38856,2465367,1549796,4.528303654247064,63.44881099444101,26.21002104994578,0.17276993580500885,2.4207844348363188,16.476324126639877,62.86268940891965,78.95437768730261,37.859217413102876,60.11867968846582
RTP,2019,102535,604582,42332,2341847,1628497,3.873497722393323,55.320962864972124,22.83948895499098,0.16959651461671038,2.422162902768591,15.882352367484273,69.53900062642863,9.007888414024793,11.047599805302745,8.945851348569075
RTP,2020,98793,601163,42580,2271415,111029,3.778367930162036,53.34464537341475,22.991659328090048,0.1643364611594526,2.3201737905119773,1.123854928992945,4.888098388009237,-3.649485541522407,-0.565514686179873,0.5858452234716054
RTP,2021,93816,584438,39012,2096113,70402,3.586544680530698,53.7299548856762,22.342809328899122,0.16052344303416274,2.404798523531221,0.7504263665046474,3.3586929712281735,-5.037806322310285,-2.7821073485893177,-8.379520901831846
RTP,2022,87069,488972,37324,1932399,974579,3.951962484559443,51.77363090772693,22.193880715294767,0.1780654106983631,2.3327885542814273,11.193180121512823,50.43363197766093,-7.191737017139934,-16.334666808113095,-4.3268737824259205
RTP,2023,92193,502129,37226,2180977,1133437,4.343459549239339,58.5874657497448,23.656644213768942,0.18360421325993917,2.476575511739107,12.294176347445033,51.96923213770709,5.884987768321675,2.69074711844441,-0.2625656414103526
Penquis,2014,198339,4179957,104350,11177889,6708,2.6741636337407297,107.11920459990417,56.35749398756674,0.04745000965320935,1.9007091518926689,0.03382088242856927,0.060011331298781015,NA,NA,NA
Penquis,2015,302883,6276686,193649,11573068,6255,1.8438182187224277,59.763117805927216,38.209698134263064,0.048255241699202416,1.5640824378127436,0.020651538712968372,0.05404789810273299,52.70975451121564,50.16149687664251,85.5764254911356
Penquis,2016,335499,6966645,218399,12767863,20954,1.8327133074815782,58.461178851551516,38.05633697864971,0.04815790096954847,1.53617461618414,0.06245622192614583,0.16411516946884536,10.768514574934876,10.992409051528147,12.780856084978492
Penquis,2017,333438,7054337,259950,14403792,30270,2.041834973293734,55.40985574148875,43.19781188706746,0.04726709257014514,1.2827005193306404,0.09078149461069224,0.21015299304516477,-0.6143088354957839,1.2587407568492437,19.025270262226478
Penquis,2018,307503,6927612,266012,14732477,23719,2.1266313702326287,55.38275340962062,47.91002689404656,0.04438802288580827,1.1559741665789514,0.07713420682074647,0.16099804533887954,-7.778057689885376,-1.796412618223371,2.3319869205616466
Penquis,2019,314314,5807157,194133,11856112,16506,2.0416379305742898,61.07211035733234,37.720597873464115,0.05412528023609487,1.6190652799884615,0.05251436461627544,0.139219332610893,2.214937740444809,-16.1737551121512,-27.020961460385244
Penquis,2020,204341,3470894,82123,9978636,16506,2.8749469156937666,121.50842029638468,48.83325421721534,0.05887272846707505,2.488231068032098,0.08077674084006636,0.16541338916461126,-34.988260147495815,-40.23075318955558,-57.69755785981775
Penquis,2021,191827,3437154,76429,10104272,16506,2.939720478046663,132.2046867026914,52.67387802551257,0.055809835695462,2.509871907260333,0.08604628128469924,0.1633566475645153,-6.124076910654249,-0.9720838492907015,-6.9335021857457715
Penquis,2022,238379,3692948,81019,12674203,16506,3.43200147957675,156.43494735802713,53.16828663598723,0.0645497851580905,2.942260457423567,0.06924267657805427,0.13023304108353007,24.267699541774622,7.442029074053709,6.005573800520745
Penquis,2023,276248,3823774,79396,15244134,0,3.9866723294839077,192.0012846994811,55.1827850337378,0.07224485547524513,3.4793692377449745,0,0,15.886047009174467,3.5425898225482735,-2.0032338093533615
METRO,2014,1489116,791213,67782,6546062,1876643,8.273451017614725,96.5752264613024,4.395938261357745,1.8820671551149943,21.969195361600423,1.2602396321038791,28.66827414711318,NA,NA,NA
METRO,2015,1568136,811450,71845,6838547,1738823,8.427564236859942,95.1847310181641,4.360939995000433,1.9325109372111653,21.826654603660657,1.1088470642852406,25.42679022312781,5.3065039929730125,2.5577183388038365,5.9942167537104245
METRO,2016,1810825,929732,78830,7762991,1903211,8.349708303037865,98.47762273246227,4.286991288501097,1.9476849242577432,22.971267284028922,1.051018734554692,24.516465367536817,15.476272466163648,14.576622096247457,9.722318880924211
METRO,2017,1850686,1025084,82134,8117917,1942610,7.9192700305535935,98.83747291012249,4.386436705092057,1.8053993623937161,22.532520028246523,1.0496702303902445,23.929907142435678,2.2012618557839656,10.255858677554391,4.191297729290879
METRO,2018,1947038,1149490,91310,9354574,2089330,8.13802120940591,102.44851604424488,4.804515371554125,1.6938276975006308,21.323381885883254,1.0730812649778791,22.334849240596096,5.206285669205905,12.136176157271015,11.171987240363308
METRO,2019,2111881,1498206,110747,10638584,2418291,7.10088198819121,96.06205134224855,5.0374921693031,1.4096065561077715,19.069419487661065,1.1450886674012408,22.731324018309206,8.466347344016912,30.336584050317967,21.286825101303254
METRO,2020,1065893,1275811,97080,10775550,758856,8.446039421199535,110.99660074165637,10.109410606880804,0.8354630897523222,10.979532344458178,0.7119438817967657,7.042387627545693,-49.528737651411234,-14.844086861219353,-12.340740606969037
METRO,2021,1016885,1395889,104306,11198702,1385127,8.022630739263652,107.36392920829098,11.012751687752303,0.7284855744260468,9.749055663144977,1.3621274775417083,12.368638794031666,-4.597834867102045,9.411895649120442,7.4433456942727645
METRO,2022,1260110,1345771,101131,12554602,2108658,9.328928918813082,124.14197427099505,9.963100046821308,0.9363480116602304,12.460175416044537,1.6733920054598408,16.795896835280004,23.91863386715312,-3.5904000962827274,-3.0439284413168943
METRO,2023,1694203,1377464,102442,13389042,2187081,9.720066731326554,130.69875636945784,7.902855797091612,1.2299435774728051,16.5381679389313,1.290920273426502,16.334858012993013,34.4488179603368,2.3550069068214428,1.296338412554014
LATC,2014,383200,256736,20610,1574738,243929,6.13368596534962,76.40650169820475,4.109441544885177,1.4925838215131497,18.592916060164967,0.6365579331941544,15.490132326774358,NA,NA,NA
LATC,2015,432846,269289,22448,1683061,240264,6.25001763904207,74.97598895224519,3.8883598323653215,1.6073660639684502,19.282163221667854,0.5550796357133946,14.275418419177916,12.955636743215033,4.889458432007977,8.918000970402717
LATC,2016,393674,262802,21785,1626334,257110,6.188438444151871,74.6538443883406,4.131169444769022,1.497987077723914,18.07087445490016,0.653103837185082,15.8091757289708,-9.04986993064508,-2.4089361243868113,-2.9534925160370635
LATC,2017,373798,234471,18783,1635162,246783,6.973834717299794,87.0554224564766,4.374453581881123,1.594218474779397,19.900867805994782,0.6602041744471613,15.092266087396844,-5.048847523585505,-10.780359357995753,-13.780123938489785
LATC,2018,334373,233570,18947,1665775,223724,7.13180202937021,87.91761228690558,4.981786806949126,1.4315751166673802,17.64780704069246,0.6690851234998041,13.430625384580749,-10.547140434138225,-0.38426926997368543,0.8731299579406911
LATC,2019,317453,234227,18380,1706316,198296,7.284881760002049,92.8354733405876,5.375019294194731,1.3553219739825042,17.27165397170838,0.6246467981086964,11.62129406276446,-5.060217182607447,0.2812861240741534,-2.9925581886314454
LATC,2020,253183,257114,19710,2037248,145387,7.923520306167692,103.3611364789447,8.046543409312632,0.9847110620191821,12.845408422120752,0.5742368168478926,7.136440924227193,-20.245516659158994,9.771290244079461,7.236126224156692
LATC,2021,204644,265988,21252,2168906,141714,8.154149811269681,102.05655938264634,10.598434354293309,0.7693730544235078,9.629399585921325,0.6924903735267098,6.5338931239989195,-19.171508355616293,3.4513873223550644,7.8234398782343995
LATC,2022,207779,236697,18544,2234058,127960,9.438471970493923,120.47336065573771,10.752087554565186,0.8778269264080237,11.204648403796376,0.6158466447523571,5.727693730422398,1.5319286175016127,-11.012150924101839,-12.74233013363448
LATC,2023,270483,251620,20084,2250005,0,8.942075351720849,112.02972515435172,8.318471031451145,1.0749662189015181,13.467586138219477,0,0,30.17821820299453,6.3046848924996945,8.304572907679034
KVCAP,2014,184802,1102986,53550,2424838,65511,2.1984304424534855,45.281755368814196,13.121275743769006,0.16754700422308172,3.451017740429505,0.3544929167433253,2.7016650184465933,NA,NA,NA
KVCAP,2015,196759,1065050,51210,1939408,131456,1.820954884747195,37.87166569029486,9.85676894068378,0.18474156142904088,3.842198789298965,0.668106668564081,6.778150858406276,6.470168071774116,-3.4393908898209045,-4.369747899159663
KVCAP,2016,196431,985246,61232,2511352,101267,2.5489593461937425,41.013718317219755,12.784906659335848,0.19937254249192587,3.2079794878494905,0.5155347170253167,4.032369815143396,-0.16670139612419255,-7.492981550161964,19.57039640695177
KVCAP,2017,197258,1018214,68253,2943200,93219,2.8905514950688165,43.121914055059854,14.920560889799146,0.19372941248106978,2.8901000688614418,0.4725739893946,3.1672669203587933,0.4210129765668352,3.346169383077932,11.466226809511367
KVCAP,2018,193539,1260418,75629,3352425,103965,2.6597723929680472,44.327242195454126,17.321702602576224,0.15355144087120304,2.559058033294107,0.5371785531598282,3.1011879460390612,-1.885348122763082,23.787141013578676,10.806850980909264
KVCAP,2019,173878,1150653,75183,3677822,88573,3.19629114946035,48.918266097389036,21.151738575322927,0.1511124552753958,2.312730271470944,0.5093973935748053,2.4083003473251288,-10.158676029120747,-8.70861888675027,-0.5897208742678073
KVCAP,2020,116459,960559,68482,8939074,58080,9.306116542554909,130.53173096580124,76.75726221245245,0.12124086079043557,1.700578254139774,0.49871628641839616,0.6497317283647054,-33.022579049678505,-16.520532254293865,-8.912919143955415
KVCAP,2021,95848,789044,71353,9657250,46633,12.239178043303035,135.3446946869788,100.755884316835,0.12147358068751553,1.3432932042100543,0.4865307570319673,0.48288073726992675,-17.69807400029195,-17.85574857973326,4.192342513361176
KVCAP,2022,118518,1284849,68981,9940579,59154,7.7367682895032805,144.10604369319088,83.87400226125989,0.09224274603474805,1.7181252808744436,0.4991140586240065,0.595076001106173,23.652032384608965,62.836166297443484,-3.324317127520917
KVCAP,2023,127892,1382233,71328,12146607,0,8.787669662061317,170.29226951547778,94.97550276796046,0.09252564509746186,1.793012561686855,0,0,7.909347103393577,7.579412055424411,3.4023861643061135
DTI,2014,483911,610568,37434,2227316,171245,3.647940933687976,59.49981300422076,4.60273893339891,0.7925587321969052,12.927044932414383,0.35387705590490814,7.688401645747617,NA,NA,NA
DTI,2015,562210,606429,37504,2495022,170650,4.114285431600401,66.52682380546075,4.437882641717508,0.9270829726150959,14.99066766211604,0.30353426655520177,6.839619049451268,16.180454670383604,-0.6778933714180894,0.18699577923812577
DTI,2016,587123,626340,38818,2672309,168300,4.2665469233962385,68.84200628574372,4.55153179146448,0.9373870421815628,15.125019320933587,0.28665203032413994,6.297924379254045,4.431262339695132,3.283319234403368,3.503626279863481
DTI,2017,628871,630354,41664,2520482,166225,3.998518292895738,60.49543970814132,4.007947575893943,0.9976473537091857,15.093870007680492,0.26432288975004414,6.59496874010606,7.110605443833745,0.6408659833317368,7.331650265340821
DTI,2018,638232,675901,43104,2696012,172847,3.9887675857854923,62.54667780252413,4.22418806954211,0.9442684653521743,14.806792873051226,0.2708215821206082,6.41121033585904,1.4885405750940972,7.225622428032502,3.4562211981566824
DTI,2019,671879,701870,44002,3126870,225038,4.455055779560317,71.06199718194628,4.653918339462909,0.9572698647897759,15.269283214399346,0.3349382850185822,7.196909369433331,5.271907394176412,3.8421307262454114,2.083333333333333
DTI,2020,689909,753542,47802,3066198,221224,4.069047246205255,64.1437178360738,4.444351356483247,0.9155548065005003,14.432638801723778,0.3206567822712851,7.214928716279902,2.6835189074223185,7.362047102739823,8.63597109222308
DTI,2021,17944,330041,14142,1887234,79102,5.718180468487248,133.4488756894357,105.17353990191708,0.05436900263906606,1.2688445764389762,4.408270173874276,4.191425122692787,-97.39907726961093,-56.20137961785806,-70.41546378812602
DTI,2022,326246,497573,32148,3497527,147092,7.029173608696613,108.79454398407366,10.720520711365044,0.6556746447254975,10.148251835261913,0.4508622327936588,4.205600128319238,1718.1341952741864,50.760966061792324,127.32286805260924
DTI,2023,453937,560870,34520,3929188,193930,7.0055235616096425,113.82352259559676,8.6558002542203,0.8093444113609214,13.149971031286212,0.4272178738459302,4.935625376031893,39.139483702482174,12.721148454598621,7.3783750155530665
BSOOB,2014,160900,346292,21332,2219338,394736,6.40886304043986,104.0379711231952,13.79327532628962,0.4646367805204856,7.542658916182261,2.453300186451212,17.786204715099725,NA,NA,NA
BSOOB,2015,178328,346292,21476,2396935,411277,6.921716354983656,111.609936673496,13.441158987932349,0.514964249823848,8.303594710374371,2.306295141536943,17.158454442861405,10.831572405220633,0,0.6750421901368836
BSOOB,2016,188944,363495,23150,2168285,432724,5.965102683668276,93.66241900647948,11.475807646710136,0.5197980715002958,8.161727861771059,2.2902235583029893,19.95697060118942,5.953075232156476,4.967772862208772,7.7947476252561
BSOOB,2017,332849,412695,26963,2547389,436767,6.172570542410255,94.4772095093276,7.653287226339872,0.8065254001138855,12.344657493602345,1.3122076376975746,17.145673471935382,76.16277838936405,13.535261833037593,16.47084233261339
BSOOB,2018,365267,565021,34978,3207024,529896,5.67593770850995,91.68688890159528,8.779944533724645,0.6464662375380738,10.442764023100235,1.4507086596927727,16.52298205439061,9.739551568428926,36.91006675632125,29.725920706152877
BSOOB,2019,366527,570791,35861,2995957,524037,5.248781077487206,83.54359889573631,8.1739053330314,0.6421387162726813,10.220769080616826,1.4297364177809548,17.49147267467457,0.34495314386462506,1.0212009819104069,2.524443936188461
BSOOB,2020,269259,421580,27177,3599238,367029,8.537497034963708,132.43691356661884,13.367196639666641,0.6386901655676266,9.907605695992935,1.3631076398560493,10.197408451455559,-26.53774483189506,-26.141091923313436,-24.215721814784864
BSOOB,2021,124613,422567,26024,3250528,124833,7.69233754647192,124.9050107592991,26.084983107701444,0.29489524738088874,4.788387642176453,1.0017654658823718,3.8403914687090834,-53.72002421460378,0.23411926561981117,-4.242558045406042
BSOOB,2022,171828,496928,29592,3629275,276032,7.303422226157512,122.64378886185456,21.121557604115743,0.34578047523987376,5.806569343065694,1.6064436529552808,7.6057063738625486,37.88930528917528,17.597446085472836,13.710421149707964
BSOOB,2023,258124,470544,28697,4039610,0,8.584978237954367,140.76767606370004,15.64988145232524,0.5485650651161209,8.994807819632713,0,0,50.222315338594406,-5.3094210831347795,-3.0244660719113274
BATH,2014,13784,37873,3150,150914,12921,3.984738468037916,47.90920634920635,10.948491004062681,0.3639532120508014,4.375873015873016,0.9373911781775972,8.561829916376213,NA,NA,NA
BATH,2015,12326,38160,3063,136245,10806,3.570361635220126,44.48090107737512,11.05346422196982,0.3230083857442348,4.024159320927196,0.8766834333928282,7.931300231201146,-10.577481137550784,0.7577957911968949,-2.761904761904762
BATH,2016,18533,38296,3113,133995,12045,3.498929392103614,43.043687761002246,7.230076080505045,0.48394088155420933,5.95342113716672,0.6499217611827551,8.989141385872607,50.356969008599705,0.35639412997903563,1.632386549134835
BATH,2017,11292,39368,3125,142424,11769,3.617760617760618,45.57568,12.6128232376904,0.28683194472668155,3.61344,1.0422422954303932,8.263354490816155,-39.0708465979604,2.7992479632337584,0.38548024413748794
BATH,2018,13263,38412,3037,153160,12614,3.987295636780173,50.43134672374053,11.54791525295936,0.34528272414870353,4.367138623641751,0.9510668777802911,8.23583180987203,17.454835281615303,-2.428368217841902,-2.8160000000000003
BATH,2019,11769,39054,3075,150385,13966,3.8506939109950324,48.90569105691057,12.778061007732179,0.30135197418958365,3.8273170731707316,1.186676862945025,9.286830468464274,-11.264419814521602,1.6713527022805375,1.2512347711557459
